"host","region","service","ctlPerf","workload","count","ms","node","ts"
"192.168.0.180","USA","FILE","2","46","1","43","3","1686239123462"
"192.168.0.180","USA","APP","0","67","2","158","3","1686239137700"
"192.168.0.210","EUR","APP","1","25","1","90","7","1686239137712"
"192.168.0.210","USA","FILE","1","59","2","106","3","1686239137757"
"192.168.0.240","ASI","APP","0","24","1","134","2","1686239137726"
"192.168.0.190","ASI","FILE","2","42","1","59","3","1686239137744"
"192.168.0.190","ASI","FILE","0","88","2","118","3","1686239137777"
"192.168.0.250","ASI","FILE","0","42","1","139","1","1686239137766"
"192.168.0.250","USA","FILE","1","90","2","103","4","1686239137804"
"192.168.0.180","EUR","index.html","0","84","3","139","6","1686239137812"
"192.168.0.200","EUR","APP","2","29","1","68","4","1686239137788"
"192.168.0.200","USA","FILE","0","57","2","181","3","1686239137821"
"192.168.0.250","ASI","index.html","2","113","3","64","1","1686239137832"
"192.168.0.180","ASI","APP","1","108","4","98","2","1686239137839"
"192.168.0.250","USA","FILE","0","156","4","179","3","1686239137863"
"192.168.0.180","EUR","APP","0","135","5","168","4","1686239137872"
"192.168.0.210","ASI","index.html","0","75","3","171","1","1686239137881"
"192.168.0.220","ASI","FILE","1","40","1","93","2","1686239137850"
"192.168.0.190","USA","FILE","1","120","3","88","3","1686239137902"
"192.168.0.200","EUR","APP","2","89","3","49","6","1686239137910"
"192.168.0.180","USA","index.html","2","162","6","48","4","1686239137924"
"192.168.0.230","EUR","FILE","2","48","1","78","6","1686239137891"
"192.168.0.230","USA","APP","0","73","2","136","3","1686239137916"
"192.168.0.200","ASI","APP","0","112","4","153","2","1686239137930"
"192.168.0.240","ASI","FILE","2","59","2","67","2","1686239137938"
"192.168.0.180","EUR","APP","0","186","7","148","5","1686239137945"
"192.168.0.200","EUR","APP","1","148","5","77","5","1686239137952"
"192.168.0.250","USA","APP","0","179","5","165","3","1686239137963"
"192.168.0.190","USA","index.html","1","139","4","98","4","1686239137975"
"192.168.0.200","USA","FILE","1","188","6","81","3","1686239137983"
"192.168.0.250","EUR","FILE","0","209","6","193","4","1686239137994"
"192.168.0.180","USA","FILE","0","225","8","153","4","1686239269140"
"192.168.0.220","EUR","APP","0","60","2","196","5","1686239269144"
"192.168.0.230","EUR","index.html","1","92","3","97","5","1686239269147"
"192.168.0.180","EUR","APP","1","256","9","91","6","1686239269150"
"192.168.0.200","EUR","index.html","2","214","7","49","4","1686239269157"
"192.168.0.250","EUR","APP","0","239","7","171","6","1686239269164"
"192.168.0.180","USA","index.html","0","274","10","133","3","1686239269169"
"192.168.0.210","USA","index.html","1","94","4","100","3","1686239269175"
"192.168.0.250","USA","index.html","0","255","8","170","3","1686239269180"
"192.168.0.190","EUR","index.html","1","159","5","89","4","1686239269187"
"192.168.0.210","ASI","index.html","0","112","5","120","2","1686239269191"
"192.168.0.240","USA","APP","2","94","3","44","4","1686239269197"
"192.168.0.190","ASI","APP","2","190","6","74","1","1686239269202"
"192.168.0.220","EUR","index.html","0","76","3","178","7","1686239269207"
"192.168.0.230","ASI","FILE","0","118","4","161","1","1686239269212"
"192.168.0.190","USA","index.html","2","212","7","69","3","1686239269216"
"192.168.0.200","ASI","index.html","1","232","8","118","3","1686239269224"
"192.168.0.230","ASI","FILE","2","159","5","64","3","1686239269230"
"192.168.0.180","EUR","APP","1","302","11","79","6","1686239269236"
"192.168.0.210","ASI","index.html","1","130","6","111","2","1686239269241"
"192.168.0.230","EUR","FILE","2","205","6","59","4","1686239269246"
"192.168.0.180","EUR","index.html","2","325","12","62","4","1686239269252"
"192.168.0.200","USA","APP","1","262","9","91","4","1686239269257"
"192.168.0.240","EUR","index.html","0","110","4","171","4","1686239269268"
"192.168.0.180","ASI","APP","1","351","13","116","2","1686239269273"
"192.168.0.210","ASI","APP","2","161","7","77","2","1686239269278"
"192.168.0.240","USA","APP","0","139","5","101","4","1686239269284"
"192.168.0.180","USA","FILE","1","395","14","79","3","1686239269289"
"192.168.0.210","USA","FILE","2","204","8","63","3","1686239269296"
"192.168.0.240","ASI","FILE","0","178","6","114","1","1686239269302"
"192.168.0.190","EUR","index.html","1","232","8","88","5","1686239269307"
"192.168.0.220","USA","index.html","1","97","4","84","3","1686239269315"
"192.168.0.240","USA","FILE","1","210","7","88","3","1686239269320"
"192.168.0.190","EUR","APP","2","265","9","56","7","1686239269327"
"192.168.0.220","EUR","index.html","0","113","5","167","4","1686239269333"
"192.168.0.230","ASI","FILE","2","259","7","43","3","1686239269339"
"192.168.0.190","USA","index.html","0","281","10","163","4","1686239269345"
"192.168.0.200","USA","index.html","2","284","10","67","4","1686239269351"
"192.168.0.250","USA","APP","1","288","9","92","4","1686239269361"
"192.168.0.190","EUR","FILE","0","319","11","119","7","1686239269367"
"192.168.0.200","USA","index.html","1","302","11","115","4","1686239269374"
"192.168.0.240","ASI","APP","1","242","8","80","2","1686239269380"
"192.168.0.180","USA","index.html","0","411","15","181","4","1686239269391"
"192.168.0.220","ASI","index.html","1","133","6","91","2","1686239269398"
"192.168.0.240","EUR","index.html","0","258","9","171","6","1686239269402"
"192.168.0.190","USA","APP","2","355","12","67","3","1686239269411"
"192.168.0.200","EUR","FILE","0","337","12","164","7","1686239269418"
"192.168.0.250","ASI","index.html","0","303","10","192","1","1686239269430"
"192.168.0.180","ASI","index.html","1","429","16","116","2","1686239269437"
"192.168.0.210","ASI","index.html","0","220","9","159","2","1686239269444"
"192.168.0.250","ASI","FILE","2","342","11","74","1","1686239269450"
"192.168.0.180","EUR","APP","2","462","17","64","7","1686239269459"
"192.168.0.200","USA","APP","0","370","13","116","4","1686239269466"
