"host","IP","status","scores"
"BTSLIN.com","192.168.0.180",1,0
"BTSLIN.com","192.168.0.182",1,-51.3919047619048
"NCCUCS.com","192.168.0.190",1,0
"NCCUCS.com","192.168.0.193",1,-106.937142857143
"NCCUCS.com","192.168.0.196",1,-116.768571428571
"NCCU.com","192.168.0.200",1,-135.967142857143
"NCCU.com","192.168.0.201",1,-90.3414285714286
"NCCU.com","192.168.0.202",1,0
"NSD.com","192.168.0.210",1,-43.2628571428571
"NSD.com","192.168.0.218",1,0
"BDS.com","192.168.0.220",1,-68.4871428571429
"BDS.com","192.168.0.226",1,0
"CLIP.com","192.168.0.230",1,0
"CLIP.com","192.168.0.236",1,-37.8514285714286
"unionlab.com","192.168.0.240",1,-43.5785714285714
"unionlab.com","192.168.0.241",1,-574.6
"unionlab.com","192.168.0.242",1,0
